Colour ID     Vector    Colour Hex ID    
white6:       0.91:0.11 000000 302e39313a302e31312c
white5:       0.74:0.08 464746 302e37343a302e30382c
white4:       0.65:0.09 7e7d7e 302e36353a302e30392c
white3:       0.32:0.08 bdbebd 302e33323a302e30382c
white2:       0.23:0.07 dedfde 302e32333a302e30372c
white1:       0.05:0.05 ffffff 302e30353a302e30352c
purple5:      0.96:0.25 39004a 302e39363a302e32352c
purple4:      0.99:0.44 630084 302e39393a302e34342c
purple3:      0.95:0.61 9100c0 302e39353a302e36312c
purple2:      0.98:0.74 9c34bd 302e39383a302e37342c
purple1:      0.95:0.89 a96dbd 302e39353a302e38392c
darkblue5:    0.81:0.29 00204a 302e38313a302e32392c
darkblue4:    0.83:0.43 003f94 302e38333a302e34332c
darkblue3:    0.83:0.63 0055c6 302e38333a302e36332c
darkblue2:    0.82:0.78 5688ce 302e38323a302e37382c
darkblue1:    0.83:0.88 94abcb 302e38333a302e38382c
lightblue5:   0.63:0.25 003737 302e36333a302e32352c
lightblue4:   0.62:0.44 007c79 302e36323a302e34342c
lightblue3:   0.65:0.62 00c7c6 302e36353a302e36322c
lightblue2:   0.67:0.76 39c1c0 302e36373a302e37362c
lightblue1:   0.63:0.92 79babb 302e36333a302e39322c
green5:       0.53:0.26 0b4100 302e35333a302e32362c
green4:       0.54:0.46 1b9700 302e35343a302e34362c
green3:       0.50:0.61 21c700 302e35303a302e36312c
green2:       0.55:0.77 60c34d 302e35353a302e37372c
green1:       0.52:0.91 97c38f 302e35323a302e39312c
yellow5:      0.39:0.24 393300 302e33393a302e32342c
yellow4:      0.35:0.40 7f7100 302e33353a302e34302c
yellow3:      0.37:0.59 c6b300 302e33373a302e35392c
yellow2:      0.37:0.78 c3b537 302e33373a302e37382c
yellow1:      0.38:0.91 bbb06e 302e33383a302e39312c
orange5:      0.22:0.22 462c00 302e32323a302e32322c
orange4:      0.23:0.44 764d00 302e32333a302e34342c
orange3:      0.23:0.59 c67f00 302e32333a302e35392c
orange2:      0.23:0.76 c6953c 302e32333a302e37362c
orange1:      0.24:0.89 c6a877 302e32343a302e38392c
red5:         0.06:0.26 310000 302e30363a302e32362c
red4:         0.07:0.44 6e0000 302e30373a302e34342c
red3:         0.03:0.58 c60000 302e30333a302e35382c
red2:         0.10:0.79 c63231 302e31303a302e37392c
red1:         0.06:0.87 c07170 302e30363a302e38372c
